"Incident_No","Date_Time_Of_Event","Dispatched_Time","Unit_On_The_Way_Time","Unit_On_Scene_TimeStamp","On_Scene_Unit","Cleared_TimeStamp","Unit_Count","Priority","Final_Incident_Type","Final_Incident_Category","Latitude","Longitude"
"F150019001","1/1/15 12:05 AM","1/1/15 12:07 AM","1/1/15 12:07 AM","1/1/15 12:13 AM","E3","1/1/15 12:16 AM","1","Priority 2","MEDICAL","Medical Only","37.3321012844","-121.877488682"
"F150019002","1/1/15 12:08 AM","1/1/15 12:09 AM","1/1/15 12:10 AM","1/1/15 12:17 AM","E17","1/1/15 12:18 AM","1","Priority 1","MEDICAL","Good Intent Or Service","37.2417831149","-121.910968667"
"F150019003","1/1/15 12:07 AM","1/1/15 12:09 AM","","","","1/1/15 12:11 AM","1","Priority 2","FIRE & Other","No Incident, Wrong Location, Cancelled En Route","37.3664609557","-121.812321613"
"F150019004","1/1/15 12:13 AM","1/1/15 12:14 AM","1/1/15 12:16 AM","1/1/15 12:19 AM","E6","1/1/15 12:30 AM","1","Priority 1","FIRE & Other","Other Fires","37.2970715817","-121.909971525"
"F150019005","1/1/15 12:17 AM","1/1/15 12:17 AM","1/1/15 12:19 AM","1/1/15 12:23 AM","T16","1/1/15 12:46 AM","1","Priority 1","MEDICAL","Uncategorized","37.3197854131","-121.828330658"
"F150019006","1/1/15 12:16 AM","1/1/15 12:18 AM","1/1/15 12:20 AM","1/1/15 12:27 AM","E12","1/1/15 12:49 AM","2","Priority 1","FIRE & Other","False Alarm / False Call","37.2314030428","-121.839080231"
"F150019007","1/1/15 12:18 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3192603318","-122.054483624"
"F150019008","1/1/15 12:26 AM","1/1/15 12:27 AM","1/1/15 12:29 AM","1/1/15 12:34 AM","E23","1/1/15 12:56 AM","1","Priority 1","MEDICAL","Uncategorized","37.4016106615","-121.863425398"
"F150019009","1/1/15 12:28 AM","1/1/15 12:29 AM","1/1/15 12:31 AM","1/1/15 12:38 AM","E10","1/1/15 12:50 AM","1","Priority 1","MEDICAL","Uncategorized","37.3213251685","-121.947887825"
"F150019010","1/1/15 12:28 AM","1/1/15 12:29 AM","1/1/15 12:32 AM","1/1/15 12:36 AM","E24","1/1/15 1:21 AM","2","Priority 1","MEDICAL","Uncategorized","37.3017782373","-121.82238506"
"F150019011","1/1/15 12:28 AM","1/1/15 12:30 AM","1/1/15 12:37 AM","","","1/1/15 12:40 AM","1","Priority 2","MEDICAL","Uncategorized","37.2502336587","-121.94857362"
"F150019012","1/1/15 12:33 AM","1/1/15 12:34 AM","1/1/15 12:36 AM","","","1/1/15 12:40 AM","1","Priority 1","MEDICAL","Uncategorized","37.2529655943","-121.951807433"
"F150019013","1/1/15 12:34 AM","1/1/15 12:35 AM","1/1/15 12:35 AM","1/1/15 12:41 AM","E8","1/1/15 1:01 AM","1","Priority 1","MEDICAL","Medical Only","37.3533057669","-121.885214942"
"F150019014","1/1/15 12:37 AM","1/1/15 12:37 AM","1/1/15 12:39 AM","1/1/15 12:44 AM","S30","1/1/15 12:58 AM","2","Priority 2","MEDICAL","Medical Only","37.3237733469","-121.904991523"
